,county,facilities_per_person
0,Sierra,0.0013717421124828531
1,Sacramento,5.192466364532669e-05
2,Santa Barbara,8.086017254662375e-05
3,Calaveras,0.0001313657660813592
4,Ventura,6.413233112710196e-05
5,Los Angeles,6.078482875082145e-05
6,Sonoma,4.5041725016174075e-05
7,Kings,6.556732124709046e-05
8,San Diego,5.410826090273858e-05
9,Placer,5.656553732341715e-05
10,San Francisco,6.697719015411804e-05
11,Marin,0.00011900877209820144
12,Mariposa,0.00011675423234092235
13,Lassen,9.412355285037493e-05
14,Napa,5.8230943923601e-05
15,Shasta,7.698568066339661e-05
16,Monterey,5.4843478996090116e-05
17,Trinity,0.0001888098684624583
18,Mendocino,0.00015360140435569697
19,Inyo,0.00015932869509798715
20,Mono,7.564868749527195e-05
21,Tuolumne,9.092066262978924e-05
22,Solano,4.6563709132030286e-05
23,San Bernardino,3.852216147848056e-05
24,Contra Costa,4.9026016472741534e-05
25,Alpine,0.0013201320132013201
26,El Dorado,8.345808578447993e-05
27,Yolo,4.605302545350717e-05
28,Yuba,8.567407135426228e-05
29,San Benito,6.177319969731132e-05
30,Humboldt,0.0001395704169482561
31,Riverside,4.280739102534815e-05
32,Kern,3.7491054524122736e-05
33,Colusa,9.169685021319517e-05
34,Del Norte,0.00010924186148131964
35,Modoc,0.0
36,Fresno,3.669615582972984e-05
37,Madera,3.815750144680526e-05
38,Santa Clara,3.234505285025127e-05
39,Tehama,0.0
40,San Joaquin,2.1810390726735048e-05
41,Alameda,3.606152817937966e-05
42,Nevada,0.00010750376263169211
43,Butte,9.831230542356218e-05
44,Merced,4.6051932409933046e-05
45,Tulare,3.590694609311305e-05
46,Stanislaus,3.079358696380667e-05
47,Orange,8.849760977719074e-05
48,Imperial,4.454888683469022e-05
49,Sutter,0.00010090715532638419
50,Amador,9.85780121743845e-05
51,Lake,8.820416323650477e-05
52,Plumas,5.089058524173028e-05
53,San Mateo,3.314550878355983e-05
54,Siskiyou,0.00015891393675225316
55,Santa Cruz,6.329797334782981e-05
56,Glenn,0.0002093729280803992
57,San Luis Obispo,3.5497245413755895e-05
